album_id,title,record_type,record_label,critic_score,user_score,released,genres,tags,artists
9,Geidi Primes,LP,Arbutus,72.0,62.0,2010-01-14,"['Ethereal Wave', 'Indietronica', 'Dream Pop', 'Synthpop', 'Ambient Pop', 'Art Pop']","['lo-fi,  female vocals,  surreal,  abstract,  ethereal,  fantasy,  sombre,  quirky,  concept album,  lush,  mysterious,  atmospheric,  cryptic,  lonely,  science fiction,  dark,  repetitive,  dissonant,  bittersweet,  melodic,  futuristic,  desert,  minimalistic']",['Grimes']
10,Halfaxa,LP,Arbutus,78.0,64.0,2010-10-05,"['Ethereal Wave', 'Electronic', 'Synthpop', 'Art Pop', 'Witch House', 'Ambient Pop']","['ethereal,  surreal,  atmospheric,  female vocals,  fantasy,  spiritual,  nocturnal,  dark,  lonely,  abstract,  hypnotic,  lush,  mysterious,  cryptic,  rhythmic,  avant-garde,  quirky,  medieval,  ominous,  psychedelic,  repetitive,  lo-fi,  longing,  love,  bittersweet']",['Grimes']
11,Visions,LP,Arbutus,80.0,70.0,2012-02-21,"['Synthpop', 'Electropop', 'Ethereal Wave', 'IDM']","['ethereal,  surreal,  atmospheric,  female vocals,  hypnotic,  quirky,  melodic,  dark,  mysterious,  nocturnal,  soft,  futuristic,  repetitive,  cold,  rhythmic,  love,  cryptic,  longing,  abstract,  existential,  energetic,  anxious']",['Grimes']
12,Art Angels,LP,4AD,83.0,71.0,2015-11-06,"['Electropop', 'Synthpop', 'Alternative Dance', 'Dance-Pop', 'Art Pop']","['energetic,  playful,  fantasy,  quirky,  female vocals,  manic,  uplifting,  bittersweet,  lush,  surreal,  melodic,  anxious,  rhythmic,  futuristic,  lonely,  longing,  passionate,  anthemic,  rebellious,  spring']",['Grimes']
13,Miss Anthropocene,LP,4AD,76.0,64.0,2020-02-21,"['Art Pop', 'Electronic', 'Ethereal Wave', 'Synthpop', 'Alternative Dance']","['cryptic,  futuristic,  female vocals,  eclectic,  playful,  nocturnal,  science fiction,  ethereal,  dark,  fantasy,  atmospheric,  lush,  rhythmic,  melodic,  sarcastic,  apocalyptic,  misanthropic,  concept album,  mechanical,  pessimistic']",['Grimes']
18,Shadow of a Doubt,LP,ESGN,76.0,66.0,2015-11-20,"['Trap', 'Gangsta Rap', 'Cloud Rap']","['crime,  drugs,  boastful,  urban,  male vocals,  aggressive,  introspective,  violence,  hedonistic,  rhythmic,  nocturnal,  dark,  atmospheric,  sexual,  vulgar,  depressive']",['Freddie Gibbs']
23,True,EP,Terrible,73.0,72.0,2012-11-27,"['Alternative R&B', 'Synthpop', 'Neo-Soul', 'Synth Funk', 'Sophisti-Pop']","['female vocals,  bittersweet,  passionate,  summer,  longing,  sensual,  rhythmic,  breakup,  melodic,  sentimental,  melancholic,  nocturnal,  energetic,  atmospheric']",['Solange']
24,A Seat at the Table,LP,Saint,88.0,72.0,2016-09-30,"['Neo-Soul', 'Alternative R&B', 'Art Pop', 'Sophisti-Pop', 'Spoken Word']","['conscious,  introspective,  mellow,  protest,  female vocals,  political,  uplifting,  passionate,  soothing,  lush,  optimistic,  melodic,  bittersweet,  warm,  concept album,  calm,  sad']",['Solange']
25,When I Get Home,LP,Columbia,82.0,68.0,2019-03-01,"['Alternative R&B', 'Neo-Soul', 'Art Pop', 'Psychedelic Soul', 'Ambient Pop', 'Synth Funk', 'Chopped and Screwed', 'Experimental Hip Hop']","['atmospheric,  psychedelic,  female vocals,  introspective,  sensual,  lush,  mellow,  repetitive,  warm,  soothing,  minimalistic,  sampling,  longing,  melodic,  conscious,  peaceful,  abstract,  love,  hypnotic,  surreal,  ethereal,  eclectic,  spiritual,  sparse,  lethargic,  progressive,  playful,  rhythmic,  meditative,  summer,  happy']",['Solange']
27,Old,LP,Fool's Gold,85.0,67.0,2013-10-08,"['Hardcore Hip Hop', 'Trap', 'Experimental Hip Hop']","['manic,  drugs,  humorous,  sexual,  male vocals,  boastful,  energetic,  rhythmic,  hedonistic,  introspective,  party,  atmospheric,  bittersweet']",['Danny Brown']
28,Atrocity Exhibition,LP,Warp Records,84.0,85.0,2016-09-30,"['Experimental Hip Hop', 'Hardcore Hip Hop', 'Abstract Hip Hop', 'Industrial Hip Hop', 'Post-Punk']","['drugs,  dark,  manic,  abstract,  male vocals,  psychedelic,  chaotic,  eclectic,  anxious,  sexual,  boastful,  hedonistic,  sampling,  vulgar,  surreal,  atmospheric,  urban,  introspective,  nocturnal,  disturbing,  crime,  dissonant,  pessimistic,  suicide,  aggressive,  rhythmic,  self-hatred,  depressive,  quirky,  alcohol']",['Danny Brown']
29,uknowhatimsayin¿,LP,Warp,80.0,71.0,2019-10-04,"['Hardcore Hip Hop', 'Abstract Hip Hop', 'Boom Bap', 'Experimental Hip Hop', 'Conscious Hip Hop']","['male vocals,  psychedelic,  humorous,  vulgar,  drugs,  sampling,  rhythmic,  hedonistic,  boastful,  playful,  introspective,  sarcastic,  urban,  warm,  sexual,  optimistic,  abstract,  surreal,  conscious']",['Danny Brown']
30,Doris,LP,Columbia,80.0,70.0,2013-08-20,"['West Coast Hip Hop', 'Abstract Hip Hop', 'Hardcore Hip Hop']","['introspective,  dark,  apathetic,  ominous,  male vocals,  deadpan,  drugs,  surreal,  urban,  cold,  abstract,  lethargic,  depressive,  nocturnal,  boastful,  atmospheric,  eclectic,  autumn,  death']",['Earl Sweatshirt']
31,Some Rap Songs,LP,Tan Cressida,83.0,77.0,2018-11-30,"['Abstract Hip Hop', 'Experimental Hip Hop', 'Jazz Rap', 'Glitch Hop', 'Drumless']","['lo-fi,  death,  introspective,  sampling,  abstract,  male vocals,  deadpan,  lethargic,  sombre,  depressive,  dark,  surreal,  drugs,  lonely,  poetic,  dense,  hypnotic,  psychedelic,  atmospheric,  cryptic,  serious,  rhythmic,  existential,  repetitive,  suicide,  raw,  anxious,  eclectic,  avant-garde,  melancholic,  philosophical']",['Earl Sweatshirt']
32,Feet of Clay,LP,Tan Cressida,74.0,63.0,2019-10-31,"['Experimental Hip Hop', 'Abstract Hip Hop', 'Drumless', 'Jazz Rap', 'Cloud Rap']","['abstract,  male vocals,  lo-fi,  sampling,  repetitive,  dark,  lethargic,  introspective,  psychedelic,  deadpan,  existential,  dense,  poetic,  depressive,  surreal,  hypnotic,  cryptic,  ominous']",['Earl Sweatshirt']
33,Make It Hot,EP,,,58.0,2017-09-18,"['Southern Hip Hop', 'Trap', 'Pop Rap']","['urban,  playful,  boastful,  rhythmic,  party,  female vocals,  sexual']",['Megan thee Stallion']
34,Tina Snow,EP,300,,65.0,2018-06-11,"['Trap', 'Southern Hip Hop', 'Pop Rap', 'Hardcore Hip Hop', 'Dirty South']","['female vocals,  boastful,  vulgar,  playful,  party,  sexual,  energetic']",['Megan thee Stallion']
35,Suga,EP,300,72.0,58.0,2020-03-06,"['Trap', 'Southern Hip Hop', 'Hardcore Hip Hop', 'Pop Rap', 'Contemporary R&B']","['female vocals,  boastful,  sexual,  love,  hedonistic,  vulgar,  rhythmic,  urban,  energetic,  aggressive,  sentimental']",['Megan thee Stallion']
36,Good News,LP,300,81.0,59.0,2020-11-20,"['Southern Hip Hop', 'Trap', 'Pop Rap', 'Bounce', 'Dirty South', 'Hardcore Hip Hop']","['sexual,  female vocals,  vulgar,  rhythmic,  playful,  boastful,  humorous,  party,  energetic,  sampling,  warm']",['Megan thee Stallion']
37,Purrr!,EP,,,64.0,2014-08-05,"['Alternative R&B', 'Pop Rap', 'Cloud Rap', 'Downtempo']","['female vocals,  mellow,  calm,  love,  drugs,  sentimental,  psychedelic']",['Doja Cat']
38,Amala,LP,RCA,,58.0,2018-03-30,"['Pop Rap', 'Contemporary R&B', 'Trap', 'Electropop', 'Alternative R&B']","['female vocals,  sexual,  love,  melodic,  party,  rhythmic,  sampling,  playful,  passionate,  sensual,  warm,  eclectic,  nocturnal,  urban,  summer']",['Doja Cat']
39,Hot Pink,LP,Kemosabe,67.0,59.0,2019-11-07,"['Pop Rap', 'Trap', 'Contemporary R&B', 'Dance-Pop']","['sexual,  female vocals,  melodic,  playful,  party,  energetic,  love,  vulgar,  sensual,  boastful,  summer,  humorous,  rhythmic,  uplifting,  tropical,  urban,  warm']",['Doja Cat']
40,Planet Her,LP,Kemosabe,71.0,55.0,2021-06-25,"['Pop Rap', 'Contemporary R&B', 'Trap']","['female vocals,  sensual,  love,  rhythmic,  sexual,  playful,  melodic,  introspective,  lush,  ethereal']",['Doja Cat']
41,Born to Die,LP,Interscope,62.0,65.0,2012-01-31,"['Alt-Pop', 'Chamber Pop', 'Trip Hop', 'Art Pop']","['melancholic,  summer,  female vocals,  lush,  love,  sombre,  mysterious,  passionate,  sentimental,  sensual,  sarcastic,  longing,  bittersweet,  urban,  apathetic,  sexual,  rhythmic,  warm,  hedonistic,  melodic,  romantic']",['Lana Del Rey']
42,Paradise,EP,Interscope,60.0,68.0,2012-11-13,"['Chamber Pop', 'Alt-Pop', 'Art Pop']","['female vocals,  sexual,  melancholic,  summer,  hedonistic,  lethargic,  satirical,  sensual,  love,  ethereal']",['Lana Del Rey']
43,Ultraviolence,LP,Interscope,72.0,67.0,2014-06-17,"['Dream Pop', 'Art Pop', 'Neo-Psychedelia', 'Chamber Pop', 'Psychedelic Rock']","['sensual,  drugs,  sad,  melancholic,  female vocals,  summer,  psychedelic,  apathetic,  pessimistic,  love,  ethereal,  sarcastic,  atmospheric,  romantic,  sombre,  dense,  warm,  bittersweet,  hedonistic,  urban,  depressive']",['Lana Del Rey']
44,Honeymoon,LP,Interscope,76.0,62.0,2015-09-18,"['Chamber Pop', 'Art Pop', 'Dream Pop', 'Trip Hop', 'Ambient Pop', 'Alt-Pop']","['lethargic,  melancholic,  soft,  female vocals,  atmospheric,  love,  romantic,  lush,  tropical,  sensual,  sad,  calm,  sentimental,  mellow,  apathetic,  passionate,  bittersweet,  melodic,  longing,  ballad']",['Lana Del Rey']
45,Lust for Life,LP,Interscope,74.0,57.0,2017-07-21,"['Alt-Pop', 'Art Pop', 'Trip Hop', 'Alternative R&B', 'Chamber Pop']","['female vocals,  bittersweet,  warm,  sensual,  sentimental,  romantic,  lethargic,  melancholic,  longing,  summer,  love,  ethereal,  sexual,  atmospheric,  lush,  introspective,  mellow,  rhythmic']",['Lana Del Rey']
46,Norman Fucking Rockwell!,LP,Interscope,87.0,74.0,2019-08-30,"['Singer/Songwriter', 'Art Pop', 'Dream Pop', 'Soft Rock', 'Piano Rock', 'Neo-Psychedelia', 'Chamber Pop']","['female vocals,  bittersweet,  longing,  melancholic,  love,  ethereal,  lush,  melodic,  romantic,  mellow,  warm,  sensual,  summer,  introspective,  sexual,  soft,  sombre,  psychedelic,  ballad,  passionate,  poetic,  atmospheric,  peaceful,  soothing']",['Lana Del Rey']
47,Chemtrails Over the Country Club,LP,Interscope,80.0,63.0,2021-03-19,"['Singer/Songwriter', 'Contemporary Folk', 'Americana', 'Soft Rock']","['soft,  female vocals,  bittersweet,  melodic,  longing,  romantic,  introspective,  melancholic,  soothing,  ballad,  love,  lush,  sensual,  peaceful,  ethereal,  atmospheric,  warm,  minimalistic,  mellow,  pastoral,  summer']",['Lana Del Rey']
48,Blue Banisters,LP,Polydor,73.0,66.0,2021-10-22,"['Singer/Songwriter', 'Soft Rock', 'Piano Rock', 'Art Pop']","['longing,  introspective,  soft,  female vocals,  poetic,  atmospheric,  melodic,  melancholic,  sentimental,  bittersweet,  love,  pastoral,  mellow,  calm,  sensual,  ethereal,  warm,  ballad,  soothing']",['Lana Del Rey']
50,Survive the Summer,EP,Island,51.0,44.0,2018-08-03,"['Trap', 'Pop Rap', 'Hyphy', 'Ratchet Music']","['sexual,  female vocals,  boastful,  rhythmic,  dark,  abstract,  energetic,  apathetic,  ominous,  hedonistic,  atmospheric,  sparse']",['Iggy Azalea']
51,Wicked Lips,EP,Empire,48.0,36.0,2019-12-02,"['Pop Rap', 'Electropop', 'Trap']","['female vocals,  love,  boastful,  rhythmic']",['Iggy Azalea']
52,The New Classic,LP,Def Jam,58.0,41.0,2014-04-18,"['Pop Rap', 'Trap', 'Hyphy', 'Ratchet Music']","['female vocals,  boastful,  anthemic,  rhythmic,  triumphant,  sexual,  energetic']",['Iggy Azalea']
53,In My Defense,LP,Empire,42.0,30.0,2019-07-19,"['Trap', 'Pop Rap']","['female vocals,  vulgar,  sexual,  boastful,  repetitive,  energetic,  hedonistic,  urban,  party']",['Iggy Azalea']
54,Vroom Vroom,EP,Vroom Vroom,66.0,72.0,2016-02-26,"['Bubblegum Bass', 'Electropop', 'Trap [EDM]', 'Deconstructed Club', 'Dance-Pop', 'UK Hip Hop']","['energetic,  sexual,  boastful,  chaotic,  female vocals,  hedonistic,  dark,  party,  melodic,  futuristic,  playful,  mechanical,  urban,  noisy,  quirky,  avant-garde,  nocturnal']",['Charli XCX']
55,Pop 2,Mixtape,Asylum,81.0,76.0,2017-12-15,"['Bubblegum Bass', 'Electropop', 'Hyperpop', 'Synthpop', 'Deconstructed Club', 'Art Pop', 'Glitch Pop', 'Alternative R&B', 'Pop Rap']","['futuristic,  playful,  sexual,  love,  female vocals,  bittersweet,  rhythmic,  quirky,  drugs,  melodic,  party,  chaotic,  mechanical,  nocturnal,  dissonant,  dense,  urban,  energetic,  longing,  atmospheric,  eclectic,  ethereal,  lonely,  sentimental,  repetitive']",['Charli XCX']
56,Number 1 Angel,Mixtape,Asylum,77.0,70.0,2017-03-10,"['Electropop', 'Bubblegum Bass', 'Pop Rap', 'Trap [EDM]', 'Future Bass', 'Alternative R&B', 'Dance-Pop', 'Hyperpop']","['party,  drugs,  boastful,  sexual,  female vocals,  alcohol,  uplifting,  melodic,  playful,  love,  quirky,  sensual,  romantic,  nocturnal,  urban,  rhythmic,  hedonistic,  anthemic,  futuristic,  bittersweet,  passionate,  summer,  eclectic,  warm,  energetic,  longing']",['Charli XCX']
57,True Romance,LP,Asylum,71.0,64.0,2013-04-12,"['Electropop', 'Synthpop', 'Dance-Pop', 'Witch House', 'Alternative R&B', 'Alt-Pop']","['nocturnal,  ethereal,  longing,  love,  melodic,  female vocals,  romantic,  breakup,  sentimental,  atmospheric,  melancholic,  bittersweet,  eclectic']",['Charli XCX']
58,Sucker,LP,Asylum,78.0,58.0,2014-12-16,"['Pop Rock', 'Electropop', 'Dance-Pop', 'Power Pop', 'Pop Punk']","['energetic,  boastful,  party,  female vocals,  breakup,  rebellious,  sarcastic,  sexual,  hedonistic,  uplifting,  summer,  anthemic,  melodic,  playful']",['Charli XCX']
59,Charli,LP,Asylum,80.0,71.0,2019-09-13,"['Electropop', 'Bubblegum Bass', 'Dance-Pop', 'Synthpop', 'Deconstructed Club', 'Pop Rap', 'Hyperpop']","['futuristic,  female vocals,  introspective,  melodic,  eclectic,  party,  love,  quirky,  bittersweet,  passionate,  mechanical,  nocturnal,  urban,  boastful,  longing,  lonely,  energetic,  anthemic,  sexual,  triumphant']",['Charli XCX']
60,How I'm Feeling Now,LP,Asylum,,73.0,2020-05-15,"['Electropop', 'Hyperpop', 'Bubblegum Bass', 'Deconstructed Club', 'Glitch Pop', 'Alternative R&B', 'Pop Rap']","['longing,  noisy,  love,  female vocals,  introspective,  lonely,  romantic,  bittersweet,  sentimental,  melodic,  energetic,  passionate,  sexual,  mechanical,  alienation,  futuristic,  eclectic,  rhythmic,  chaotic,  anxious,  playful']",['Charli XCX']
61,Dua Lipa,LP,Capitol,,58.0,2017-06-02,"['Electropop', 'Contemporary R&B', 'Dance-Pop', 'Synthpop', 'Alt-Pop']","['female vocals,  love,  sexual,  breakup,  rhythmic,  warm,  passionate,  sentimental,  mellow,  boastful,  longing,  party,  melodic,  playful,  bittersweet,  summer,  anthemic']",['Dua Lipa']
62,Future Nostalgia,LP,Warner,86.0,70.0,2020-03-27,"['Dance-Pop', 'Nu-Disco', 'Synthpop', 'Funktronica', 'Electropop']","['female vocals,  party,  uplifting,  sexual,  energetic,  playful,  rhythmic,  love,  melodic,  romantic,  summer,  warm,  sensual,  passionate,  urban,  nocturnal,  happy,  longing']",['Dua Lipa']
63,EP1,EP,Young,,77.0,2012-12-04,"['Alternative R&B', 'Trip Hop', 'Art Pop', 'Wonky', 'UK Bass', 'Ambient Pop']","['sensual,  female vocals,  atmospheric,  ethereal,  lush,  hypnotic,  love,  quirky,  mysterious,  passionate,  nocturnal,  futuristic,  rhythmic,  psychedelic']",['FKA twigs']
64,EP2,EP,Young,79.0,71.0,2013-09-17,"['Alternative R&B', 'Art Pop', 'Wonky', 'Downtempo', 'UK Bass', 'Trip Hop']","['ethereal,  atmospheric,  sexual,  hypnotic,  sensual,  female vocals,  love,  lush,  aquatic,  melancholic,  nocturnal,  surreal']",['FKA twigs']
65,M3LL155X,EP,Young,86.0,74.0,2015-08-14,"['Glitch Pop', 'Art Pop', 'UK Bass', 'Trip Hop', 'Deconstructed Club', 'Alternative R&B']","['sensual,  anxious,  dark,  female vocals,  atmospheric,  sexual,  ominous,  dense,  futuristic,  surreal,  urban,  melodic,  abstract,  mechanical,  progressive,  passionate,  complex,  cold']",['FKA twigs']
66,LP1,LP,Young,86.0,72.0,2014-08-11,"['Alternative R&B', 'Art Pop', 'Wonky', 'Trip Hop', 'Deconstructed Club']","['sensual,  sexual,  hypnotic,  futuristic,  ethereal,  atmospheric,  female vocals,  dark,  love,  bittersweet,  surreal,  rhythmic,  mellow,  melodic,  passionate,  nocturnal,  longing,  avant-garde,  psychedelic,  poetic,  lush,  melancholic,  mysterious']",['FKA twigs']
67,Magdalene,LP,Young,88.0,76.0,2019-11-08,"['Art Pop', 'Glitch Pop', 'Ambient Pop', 'Alternative R&B', 'Deconstructed Club']","['introspective,  female vocals,  longing,  atmospheric,  ethereal,  melancholic,  breakup,  abstract,  progressive,  love,  sensual,  lonely,  passionate,  sentimental,  lush,  surreal,  melodic,  bittersweet,  futuristic,  concept album,  meditative,  psychedelic']",['FKA twigs']
69,Montero,LP,Columbia,81.0,63.0,2021-09-17,"['Pop Rap', 'Pop', 'Trap', 'Contemporary R&B', 'Pop Rock', 'Southern Hip Hop', 'Alt-Pop']","['male vocals,  LGBT,  sexual,  melodic,  bittersweet,  introspective,  energetic,  passionate,  romantic,  eclectic,  rhythmic,  playful,  triumphant,  sensual,  boastful,  lush,  lonely,  sentimental']",['Lil Nas X']
70,Pluto,LP,Epic,,56.0,2012-04-17,"['Trap', 'Southern Hip Hop', 'Pop Rap', 'Contemporary R&B', 'Gangsta Rap']","['drugs,  sexual,  boastful,  melodic,  male vocals,  love,  romantic,  futuristic,  sensual,  hedonistic']",['Future']
71,Honest,LP,Epic,76.0,57.0,2014-04-22,"['Trap', 'Pop Rap', 'Southern Hip Hop', 'Contemporary R&B']","['love,  male vocals,  drugs,  sexual,  alcohol,  urban,  melodic,  vulgar,  bittersweet,  rhythmic,  triumphant,  energetic']",['Future']
73,EVOL,LP,Epic,70.0,57.0,2016-02-05,"['Trap', 'Southern Hip Hop']","['drugs,  dark,  urban,  sexual,  nocturnal,  boastful,  hedonistic,  vulgar,  ominous,  anthemic,  crime,  rhythmic,  repetitive,  party,  atmospheric,  male vocals,  nihilistic,  ethereal,  aggressive']",['Future']
74,FUTURE,LP,Epic,55.0,54.0,2017-02-17,"['Trap', 'Southern Hip Hop']","['urban,  boastful,  crime,  hedonistic,  male vocals,  drugs,  party,  sexual,  dark,  mysterious,  nocturnal,  violence,  rhythmic']",['Future']
75,HNDRXX,LP,Epic,66.0,57.0,2017-02-24,"['Pop Rap', 'Trap', 'Contemporary R&B', 'Cloud Rap', 'Alternative R&B']","['atmospheric,  breakup,  boastful,  love,  male vocals,  urban,  melodic,  introspective,  lonely,  bittersweet,  longing,  melancholic,  romantic,  sexual,  hedonistic,  nocturnal']",['Future']
76,Save Me,EP,Epic,60.0,59.0,2019-06-07,"['Trap', 'Pop Rap', 'Southern Hip Hop', 'Emo Rap', 'Alternative R&B']","['drugs,  male vocals,  sad,  boastful,  atmospheric,  dark,  nocturnal,  longing,  love,  melancholic,  introspective,  breakup,  lonely,  pessimistic,  melodic,  psychedelic,  ethereal,  alcohol']",['Future']
77,High Off Life,LP,Epic,62.0,54.0,2020-05-15,"['Trap', 'Southern Hip Hop']","['male vocals,  hypnotic,  party,  drugs,  hedonistic,  rhythmic,  boastful,  nocturnal,  sexual,  melodic,  repetitive,  dark']",['Future']
79,Vertigo,EP,,,59.0,2016-01-18,"['Cloud Rap', 'Emo Rap', 'Trap']","['misanthropic,  drugs,  cold,  heavy,  male vocals,  sampling,  nocturnal,  melancholic,  apathetic,  nihilistic,  lethargic,  depressive,  lonely,  sombre,  atmospheric,  self-hatred']",['Lil Peep']
80,"Come Over When You're Sober, Pt. 1",LP,,,55.0,2017-08-15,"['Emo Rap', 'Trap']","['drugs,  suicide,  pessimistic,  male vocals,  depressive,  melodic,  love,  longing,  apathetic,  atmospheric,  boastful,  anxious,  melancholic,  alienation,  bittersweet,  sentimental,  death,  anthemic,  hedonistic,  self-hatred,  lonely,  dark,  sombre,  sad,  rhythmic,  breakup,  lethargic']",['Lil Peep']
81,"Come Over When You're Sober, Pt. 2",LP,Columbia,,50.0,2018-11-09,"['Emo Rap', 'Trap', 'Cloud Rap']","['depressive,  death,  male vocals,  drugs,  longing,  hedonistic,  suicide,  love,  pessimistic,  melancholic,  dark,  melodic,  anxious,  bittersweet,  sentimental,  cold,  nocturnal,  apathetic,  lethargic,  autumn,  boastful,  urban,  ethereal,  atmospheric,  alienation']",['Lil Peep']
82,Everybody's Everything,LP,Columbia,,46.0,2019-11-15,"['Emo Rap', 'Cloud Rap', 'Trap', 'Pop Rap', 'Alternative R&B']","['male vocals,  melancholic,  lethargic,  depressive,  drugs,  melodic,  nocturnal']",['Lil Peep']
84,Hear No Evil,EP,300,59.0,55.0,2018-04-13,"['Trap', 'Southern Hip Hop', 'Pop Rap']","['repetitive,  male vocals,  boastful,  rhythmic,  melodic,  summer,  drugs,  sexual,  quirky']",['Young Thug']
86,Slime Language,LP,Young Stoner Life,64.0,50.0,2018-08-16,"['Trap', 'Pop Rap', 'Southern Hip Hop', 'Alternative R&B']","['boastful,  male vocals,  playful,  rhythmic,  urban,  drugs,  sexual']","['Young Thug', 'Young Stoner Life']"
87,So Much Fun,LP,300,77.0,65.0,2019-08-16,"['Trap', 'Southern Hip Hop', 'Pop Rap']","['party,  male vocals,  playful,  happy,  summer,  hedonistic,  quirky,  humorous,  urban,  drugs,  boastful,  vulgar,  sexual,  uplifting,  repetitive,  atmospheric,  rhythmic']",['Young Thug']
89,Goblin,LP,XL,72.0,51.0,2011-05-10,"['Hardcore Hip Hop', 'West Coast Hip Hop', 'Horrorcore', 'Abstract Hip Hop', 'Experimental Hip Hop']","['misanthropic,  vulgar,  nihilistic,  dark,  angry,  anxious,  hateful,  humorous,  male vocals,  ominous,  concept album,  melancholic,  violence,  rebellious,  suicide,  disturbing,  nocturnal,  crime,  rhythmic,  raw,  anti-religious']","['Tyler, the Creator']"
90,Wolf,LP,Odd Future,69.0,66.0,2013-04-02,"['West Coast Hip Hop', 'Hardcore Hip Hop', 'Jazz Rap', 'Neo-Soul', 'Experimental Hip Hop']","['vulgar,  sarcastic,  humorous,  angry,  breakup,  concept album,  bittersweet,  summer,  lonely,  male vocals,  playful,  warm,  rhythmic,  melancholic,  self-hatred,  introspective,  alienation,  violence,  anxious,  sentimental,  lush,  eclectic,  love,  aggressive,  dark']","['Tyler, the Creator']"
91,Cherry Bomb,LP,Odd Future,64.0,58.0,2015-04-13,"['Experimental Hip Hop', 'West Coast Hip Hop', 'Hardcore Hip Hop', 'Jazz Rap', 'Industrial Hip Hop', 'Alternative R&B', 'Neo-Soul']","['vulgar,  noisy,  aggressive,  humorous,  energetic,  lo-fi,  male vocals,  rhythmic,  dense,  sexual,  sampling,  boastful,  rebellious,  raw,  anxious,  love,  pessimistic,  sarcastic,  playful,  misanthropic,  introspective,  lush,  eclectic,  chaotic,  concept album,  summer,  female vocals,  heavy']","['Tyler, the Creator']"
